country,year,illiteracy_male,illiteracy_female,female_to_male_ratio,illiterate_total
burundi,2017,91.0,86.0,0.945054945054945,177.0
cambodia,1998,82.0,71.0,0.8658536585365854,153.0
cambodia,2004,88.0,79.0,0.8977272727272727,167.0
cambodia,2005,100.0,67.33,0.6733,167.32999999999998
cambodia,2008,89.0,86.0,0.9662921348314607,175.0
cambodia,2009,88.0,86.0,0.9772727272727273,174.0
cambodia,2010,80.6,78.02,0.9679900744416874,158.62
cambodia,2014,90.0,90.0,1.0,180.0
cambodia,2015,92.0,93.0,1.0108695652173914,185.0
cambodia,2021,90.30829,93.50569,1.035405387478824,183.81398000000002
cameroon,2000,88.0,78.0,0.8863636363636364,166.0
cameroon,2004,81.39,67.65,0.831183192038334,149.04000000000002
cameroon,2007,89.0,77.0,0.8651685393258427,166.0
cameroon,2010,85.0,76.0,0.8941176470588236,161.0
cameroon,2011,86.92,73.41,0.8445697192820985,160.32999999999998
cameroon,2018,87.59698,76.3945,0.8721133993432193,163.99148
cape verde,1990,90.0,86.0,0.9555555555555556,176.0
cape verde,2012,98.0,98.0,1.0,196.0
cape verde,2015,98.0,99.0,1.010204081632653,197.0
cayman islands,2007,99.0,99.0,1.0,198.0
central african republic,2000,73.0,49.0,0.6712328767123288,122.0
central african republic,2019,64.90382,36.67682,0.5650949358604779,101.58063999999999
chad,1993,26.0,9.0,0.34615384615384615,35.0
chad,2000,56.0,23.0,0.4107142857142857,79.0
chad,2004,54.0,31.0,0.5740740740740741,85.0
chad,2016,41.0,22.0,0.5365853658536586,63.0
chad,2019,56.26247,33.32039,0.5922311978126805,89.58286000000001
chile,1992,98.0,99.0,1.010204081632653,197.0
chile,2000,98.9,99.3,1.0040444893832152,198.2
chile,2002,99.0,99.0,1.0,198.0
chile,2003,98.9,99.4,1.0050556117290192,198.3
chile,2006,98.9,99.3,1.0040444893832152,198.2
chile,2009,99.2,99.5,1.003024193548387,198.7
chile,2011,99.2,99.6,1.004032258064516,198.8
chile,2013,99.0,99.1,1.001010101010101,198.1
chile,2015,99.3,99.4,1.001007049345418,198.7
chile,2017,99.0,99.0,1.0,198.0
chile,2022,99.1,99.5,1.0040363269424823,198.6
china,1990,97.0,91.0,0.9381443298969072,188.0
china,2000,99.0,99.0,1.0,198.0
china,2010,100.0,100.0,1.0,200.0
china,2020,100.0,100.0,1.0,200.0
colombia,1993,95.0,96.0,1.0105263157894737,191.0
colombia,1996,96.0,98.0,1.0208333333333333,194.0
colombia,2002,96.9,98.0,1.0113519091847265,194.9
colombia,2003,96.7,98.3,1.016546018614271,195.0
colombia,2004,97.5,98.4,1.0092307692307694,195.9
colombia,2005,97.6,98.4,1.0081967213114755,196.0
colombia,2006,98.0,98.0,1.0,196.0
colombia,2007,97.0,98.0,1.0103092783505154,195.0
colombia,2008,97.5,98.4,1.0092307692307694,195.9
colombia,2009,97.4,98.4,1.0102669404517455,195.8
colombia,2010,97.8,98.6,1.0081799591002045,196.39999999999998
colombia,2011,97.8,98.8,1.0102249488752557,196.6
colombia,2012,97.8,98.7,1.0092024539877302,196.5
colombia,2013,97.8,98.8,1.0102249488752557,196.6
colombia,2014,98.1,98.9,1.0081549439347606,197.0
colombia,2015,98.2,98.9,1.0071283095723014,197.10000000000002
colombia,2016,98.3,99.0,1.007121057985758,197.3
colombia,2017,98.3,99.0,1.007121057985758,197.3
colombia,2018,98.7,99.1,1.0040526849037485,197.8
colombia,2019,98.5,99.2,1.0071065989847716,197.7
colombia,2020,98.7,99.3,1.006079027355623,198.0
colombia,2021,98.8,99.4,1.0060728744939271,198.2
colombia,2022,98.6,99.2,1.0060851926977687,197.8
colombia,2023,98.7,99.2,1.005065856129686,197.9
comoros,2000,84.0,78.0,0.9285714285714286,162.0
comoros,2012,85.0,78.59,0.9245882352941177,163.59
congo,2005,88.0,71.0,0.8068181818181818,159.0
costa rica,2000,97.0,98.0,1.0103092783505154,195.0
costa rica,2011,99.0,99.0,1.0,198.0
costa rica,2018,74.78,99.63372,1.332357849692431,174.41372
cote d'ivoire,1998,54.0,40.0,0.7407407407407407,94.0
cote d'ivoire,2000,71.0,52.0,0.7323943661971831,123.0
cote d'ivoire,2014,59.0,47.0,0.7966101694915254,106.0
cote d'ivoire,2016,71.98823,54.73764,0.7603692992590594,126.72587
cote d'ivoire,2019,93.0,76.0,0.8172043010752689,169.0
cote d'ivoire,2021,76.16145,58.31827,0.7657190087636199,134.47972
croatia,1991,100.0,100.0,1.0,200.0
croatia,2001,100.0,100.0,1.0,200.0
cuba,2002,100.0,100.0,1.0,200.0
cuba,2012,100.0,100.0,1.0,200.0
cuba,2019,99.53119,99.70794,1.0017758252463373,199.23913
cyprus,1992,100.0,100.0,1.0,200.0
cyprus,2001,100.0,100.0,1.0,200.0
cyprus,2011,100.0,100.0,1.0,200.0
democratic republic of congo,2001,78.0,63.0,0.8076923076923077,141.0
democratic republic of congo,2007,87.36,62.97,0.7208104395604396,150.32999999999998
democratic republic of congo,2012,91.0,77.0,0.8461538461538461,168.0
democratic republic of congo,2013,92.56,76.58,0.8273552290406223,169.14
democratic republic of congo,2016,91.0,80.0,0.8791208791208791,171.0
democratic republic of congo,2018,90.81754,77.53746,0.8537718594888168,168.355
dominican republic,2000,93.2,96.5,1.0354077253218883,189.7
dominican republic,2001,94.3,96.6,1.024390243902439,190.89999999999998
dominican republic,2002,93.8,96.5,1.0287846481876333,190.3
dominican republic,2003,94.7,96.9,1.0232312565997888,191.60000000000002
dominican republic,2004,95.2,96.7,1.0157563025210083,191.9
dominican republic,2005,96.2,97.3,1.0114345114345114,193.5
dominican republic,2006,95.3,97.9,1.0272822665267578,193.2
dominican republic,2007,97.2,97.8,1.0061728395061729,195.0
dominican republic,2008,95.6,97.4,1.0188284518828452,193.0
dominican republic,2009,96.2,98.4,1.022869022869023,194.60000000000002
dominican republic,2010,96.2,97.9,1.0176715176715176,194.10000000000002
dominican republic,2011,96.5,98.6,1.021761658031088,195.1
dominican republic,2012,96.7,98.0,1.0134436401240952,194.7
dominican republic,2013,97.6,98.3,1.007172131147541,195.89999999999998
dominican republic,2014,98.0,98.2,1.0020408163265306,196.2
dominican republic,2015,98.1,98.1,1.0,196.2
dominican republic,2016,98.1,98.8,1.0071355759429155,196.89999999999998
dominican republic,2017,97.8,98.4,1.0061349693251536,196.2
dominican republic,2018,98.0,99.1,1.0112244897959184,197.1
dominican republic,2019,98.3,99.1,1.0081383519837233,197.39999999999998
dominican republic,2020,98.6,99.1,1.0050709939148073,197.7
dominican republic,2021,98.7,99.0,1.0030395136778114,197.7
dominican republic,2022,98.1,98.9,1.0081549439347606,197.0
dominican republic,2023,98.3,98.8,1.005086469989827,197.1
east timor,2009,87.25,83.71,0.9594269340974211,170.95999999999998
east timor,2010,80.0,79.0,0.9875,159.0
east timor,2016,89.55101,88.72531,0.9907795568134853,178.27632
ecuador,1990,97.0,96.0,0.9896907216494846,193.0
ecuador,2001,97.6,97.3,0.9969262295081968,194.89999999999998
ecuador,2003,96.5,97.4,1.0093264248704663,193.9
ecuador,2005,98.3,98.2,0.9989827060020346,196.5
ecuador,2006,98.3,98.1,0.9979654120040692,196.39999999999998
ecuador,2007,98.2,98.6,1.0040733197556007,196.8
ecuador,2008,98.4,98.5,1.0010162601626016,196.9
ecuador,2009,98.7,98.9,1.0020263424518745,197.60000000000002
ecuador,2010,98.5,98.9,1.0040609137055838,197.4
ecuador,2011,98.6,98.8,1.002028397565923,197.39999999999998
ecuador,2012,98.8,98.9,1.001012145748988,197.7
ecuador,2013,98.6,98.6,1.0,197.2
ecuador,2014,99.0,99.2,1.002020202020202,198.2
ecuador,2015,99.3,98.9,0.9959718026183284,198.2
ecuador,2016,99.0,99.1,1.001010101010101,198.1
ecuador,2017,99.1,99.4,1.0030272452068618,198.5
ecuador,2018,98.9,99.1,1.0020222446916076,198.0
ecuador,2019,98.2,98.8,1.0061099796334012,197.0
ecuador,2020,98.5,99.1,1.0060913705583756,197.6
ecuador,2021,99.0,99.2,1.002020202020202,198.2
ecuador,2022,99.0,99.2,1.002020202020202,198.2
ecuador,2023,99.0,99.3,1.003030303030303,198.3
egypt,1996,79.0,67.0,0.8481012658227848,146.0
egypt,2005,90.0,79.0,0.8777777777777778,169.0
egypt,2006,88.0,82.0,0.9318181818181818,170.0
egypt,2010,91.0,84.0,0.9230769230769231,175.0
egypt,2012,92.0,86.0,0.9347826086956522,178.0
egypt,2013,94.0,90.0,0.9574468085106383,184.0
egypt,2017,89.0,87.0,0.9775280898876404,176.0
egypt,2022,95.51,94.82,0.9927756255889434,190.32999999999998
el salvador,1992,85.0,85.0,1.0,170.0
el salvador,2000,92.2,92.6,1.0043383947939262,184.8
el salvador,2001,93.5,93.6,1.0010695187165775,187.1
el salvador,2002,92.9,93.6,1.0075349838536058,186.5
el salvador,2003,93.3,93.4,1.0010718113612005,186.7
el salvador,2004,93.7,94.0,1.0032017075773745,187.7
el salvador,2005,94.9,94.9,1.0,189.8
el salvador,2006,94.4,95.5,1.0116525423728813,189.9
el salvador,2007,95.2,95.8,1.0063025210084033,191.0
el salvador,2008,95.0,96.0,1.0105263157894737,191.0
el salvador,2009,95.1,96.1,1.010515247108307,191.2
el salvador,2010,95.7,96.4,1.0073145245559039,192.10000000000002
el salvador,2011,96.0,97.0,1.0104166666666667,193.0
el salvador,2012,96.7,97.6,1.0093071354705274,194.3
el salvador,2013,96.9,97.5,1.0061919504643961,194.4
el salvador,2014,97.3,98.2,1.0092497430626928,195.5
el salvador,2015,97.5,98.4,1.0092307692307694,195.9
el salvador,2016,97.7,98.3,1.0061412487205732,196.0
el salvador,2017,97.8,98.1,1.0030674846625767,195.89999999999998
el salvador,2018,97.7,98.2,1.0051177072671442,195.9
el salvador,2019,98.0,98.7,1.0071428571428571,196.7
el salvador,2020,98.3,98.7,1.0040691759918616,197.0
el salvador,2021,97.8,98.3,1.0051124744376279,196.1
el salvador,2022,98.0,98.6,1.0061224489795917,196.6
el salvador,2023,97.6,98.5,1.0092213114754098,196.1
equatorial guinea,2000,98.0,97.0,0.9897959183673469,195.0
eritrea,2002,86.0,69.0,0.8023255813953488,155.0
eritrea,2008,91.0,83.0,0.9120879120879121,174.0
estonia,2000,100.0,100.0,1.0,200.0
estonia,2011,100.0,100.0,1.0,200.0
eswatini,2000,91.0,93.0,1.021978021978022,184.0
eswatini,2006,88.81,93.58,1.0537101677738994,182.39
eswatini,2022,98.55315,98.77755,1.0022769439637393,197.3307
ethiopia,1994,39.0,28.0,0.717948717948718,67.0
ethiopia,2000,49.47,27.02,0.5461896098645644,76.49
ethiopia,2004,62.0,39.0,0.6290322580645161,101.0
ethiopia,2005,60.07,34.06,0.5670051606459131,94.13
ethiopia,2007,63.0,47.0,0.746031746031746,110.0
ethiopia,2011,65.08,43.65,0.6707129686539643,108.72999999999999
ethiopia,2016,79.13417,64.5676,0.8159256614430909,143.70177
fiji,2021,96.11,99.41343,1.0343713453334722,195.52343000000002
gabon,1993,94.0,92.0,0.9787234042553191,186.0
gabon,2012,94.88,93.77,0.9883010118043845,188.64999999999998
gabon,2021,94.95532,93.04062,0.9798357796066614,187.99594000000002
gambia,2000,64.0,41.0,0.640625,105.0
gambia,2013,78.39,65.85,0.8400306161500191,144.24
gambia,2015,71.0,64.0,0.9014084507042254,135.0
gambia,2018,74.97817,67.01137,0.8937450727325033,141.98954
gambia,2021,72.01779,62.55218,0.8685656696768951,134.56997
georgia,2002,100.0,100.0,1.0,200.0
georgia,2014,100.0,100.0,1.0,200.0
georgia,2017,100.0,99.0,0.99,199.0
georgia,2018,99.9046,99.94143,1.0003686516937158,199.84602999999998
georgia,2022,100.0,100.0,1.0,200.0
georgia,2023,98.88482,99.8423,1.0096827804308082,198.72712
ghana,2000,76.0,65.0,0.8552631578947368,141.0
ghana,2003,84.77,73.05,0.8617435413471747,157.82
ghana,2010,88.0,83.0,0.9431818181818182,171.0
